name,slug,industry,sector,hq_city,hq_state,size,score,certified_date,bcorp_profile_url
"MERGE4 Mfg, Inc.",merge4-mfg-inc,Apparel,Wholesale/Retail,Soquel,California,1-9,109.3,2017-02-14,https://www.bcorporation.net/en-us/find-a-b-corp/company/merge4-mfg-inc/
Marine Layer,marine-layer,Apparel,Wholesale/Retail,San Francisco,California,250-999,81.8,2022-12-14,https://www.bcorporation.net/en-us/find-a-b-corp/company/marine-layer/
Merry Go Rounds,merry-go-rounds,Apparel,Wholesale/Retail,Easton,Massachusetts,1-9,87.7,2020-12-16,https://www.bcorporation.net/en-us/find-a-b-corp/company/merry-go-rounds/
Mexicali Blues,mexicali-blues,Apparel,Wholesale/Retail,Newcastle,Maine,10-49,95.9,2024-08-18,https://www.bcorporation.net/en-us/find-a-b-corp/company/mexicali-blues/
"Michael Stars, Inc.",michael-stars-inc,Apparel,Wholesale/Retail,Hawthorne,California,50-249,97.2,2023-10-01,https://www.bcorporation.net/en-us/find-a-b-corp/company/michael-stars-inc/
OluKai,olukai,Apparel,Wholesale/Retail,Irvine,California,50-249,83.6,2014-01-06,https://www.bcorporation.net/en-us/find-a-b-corp/company/olukai/
Ombraz Inc,ombraz-inc,Apparel,Wholesale/Retail,Bellevue,Washington,1-9,85.1,2022-06-24,https://www.bcorporation.net/en-us/find-a-b-corp/company/ombraz-inc/
Paka,paka,Apparel,Wholesale/Retail,Boulder,Colorado,1-9,105,2020-11-19,https://www.bcorporation.net/en-us/find-a-b-corp/company/paka/
Parks Project,httpswwwparksprojectus,Apparel,Wholesale/Retail,Culver City,California,10-49,88.8,2023-01-02,https://www.bcorporation.net/en-us/find-a-b-corp/company/httpswwwparksprojectus/
Patagonia,patagonia-inc,Apparel,Wholesale/Retail,Ventura,California,1000+,166,2011-12-21,https://www.bcorporation.net/en-us/find-a-b-corp/company/patagonia-inc/
Patara LLC,patara-llc,Apparel,Wholesale/Retail,Carlsbad,California,1-9,85.3,2020-12-15,https://www.bcorporation.net/en-us/find-a-b-corp/company/patara-llc/
Portland Garment Factory,portland-garment-factory,Apparel,Manufacturing,Portland,Oregon,10-49,86.1,2019-08-11,https://www.bcorporation.net/en-us/find-a-b-corp/company/portland-garment-factory/
Ruadh,ruadh,Apparel,Wholesale/Retail,NY,New York,0,93.9,2025-09-10,https://www.bcorporation.net/en-us/find-a-b-corp/company/ruadh/
Rumpl,rumpl,Apparel,Wholesale/Retail,Portland,Oregon,10-49,87.3,2021-01-26,https://www.bcorporation.net/en-us/find-a-b-corp/company/rumpl/
Seams To Fit,seams-to-fit,Apparel,Wholesale/Retail,Portland,Oregon,1-9,91.7,2016-10-13,https://www.bcorporation.net/en-us/find-a-b-corp/company/seams-to-fit/
Softstar Shoes,softstar-shoes,Apparel,Manufacturing,Philomath,Oregon,10-49,87.7,2023-04-16,https://www.bcorporation.net/en-us/find-a-b-corp/company/softstar-shoes/
Solmate Socks,solmate-socks,Apparel,Wholesale/Retail,Portland,Oregon,1-9,112.5,2020-03-02,https://www.bcorporation.net/en-us/find-a-b-corp/company/solmate-socks/
"Sportiqe, LLC",sportiqe-llc,Apparel,Wholesale/Retail,Tempe,Arizona,50-249,81.9,2023-09-19,https://www.bcorporation.net/en-us/find-a-b-corp/company/sportiqe-llc/
Stick & Ball,stick-and-ball,Apparel,Wholesale/Retail,Mill Valley,California,0,90.2,2025-04-21,https://www.bcorporation.net/en-us/find-a-b-corp/company/stick-and-ball/
Storm Creek,tk-trading-co-dba-storm-creek,Apparel,Wholesale/Retail,Eagan,Minnesota,10-49,112.6,2025-06-23,https://www.bcorporation.net/en-us/find-a-b-corp/company/tk-trading-co-dba-storm-creek/
Sudara Inc.,sudara-inc,Apparel,Wholesale/Retail,Bend,Oregon,1-9,88.5,2017-11-06,https://www.bcorporation.net/en-us/find-a-b-corp/company/sudara-inc/
TOMS,toms,Apparel,Wholesale/Retail,Culver City,California,50-249,126.7,2018-11-08,https://www.bcorporation.net/en-us/find-a-b-corp/company/toms/
"TS Designs, Inc.",ts-designs-inc,Apparel,Manufacturing,Burlington,North Carolina,10-49,81.2,2008-01-24,https://www.bcorporation.net/en-us/find-a-b-corp/company/ts-designs-inc/
Tabeeze,tabeeze,Apparel,Wholesale/Retail,Glendale,California,0,119.5,2020-12-06,https://www.bcorporation.net/en-us/find-a-b-corp/company/tabeeze/
The Blueberry Hill,the-blueberry-hill,Apparel,Wholesale/Retail,South Salt Lake,Utah,1-9,80.5,2025-09-21,https://www.bcorporation.net/en-us/find-a-b-corp/company/the-blueberry-hill/
"The House of LR&C, PBC",the-house-of-lrc-pbc,Apparel,Wholesale/Retail,Seattle,Washington,1-9,82.8,2022-01-25,https://www.bcorporation.net/en-us/find-a-b-corp/company/the-house-of-lrc-pbc/
"The Humble Shoe Company, Inc.",the-humble-shoe-company-inc,Apparel,Wholesale/Retail,New York,New York,1-9,96.2,2021-12-07,https://www.bcorporation.net/en-us/find-a-b-corp/company/the-humble-shoe-company-inc/
The Many Company,borobabi,Apparel,Wholesale/Retail,Ridgewood,New Jersey,10-49,94.5,2022-02-17,https://www.bcorporation.net/en-us/find-a-b-corp/company/borobabi/
Tillak,tillak,Apparel,Wholesale/Retail,Sisters,Oregon,0,116.7,2018-07-26,https://www.bcorporation.net/en-us/find-a-b-corp/company/tillak/
"Toad & Co. International, Inc.",toad-co-international-inc,Apparel,Wholesale/Retail,Santa Barbara,California,10-49,87.4,2025-09-02,https://www.bcorporation.net/en-us/find-a-b-corp/company/toad-co-international-inc/
"TomboyX, PBC",tomboy-x,Apparel,Wholesale/Retail,Seattle,Washington,10-49,95.7,2022-01-23,https://www.bcorporation.net/en-us/find-a-b-corp/company/tomboy-x/
Town Hall Public Benefit Corporation,town-hall-public-benefit-corporation,Apparel,Wholesale/Retail,Steamboat Springs,Colorado,0,97.4,2025-03-26,https://www.bcorporation.net/en-us/find-a-b-corp/company/town-hall-public-benefit-corporation/
Turtle Fur,turtle-fur,Apparel,Wholesale/Retail,Morrisville,Vermont,10-49,103.4,2022-12-20,https://www.bcorporation.net/en-us/find-a-b-corp/company/turtle-fur/
United By Blue,united-blue,Apparel,Wholesale/Retail,Brooklyn,New York,1-9,81.9,2011-08-25,https://www.bcorporation.net/en-us/find-a-b-corp/company/united-blue/
VPL,vpl,Apparel,Wholesale/Retail,Los Angeles,California,1-9,93.6,2016-12-21,https://www.bcorporation.net/en-us/find-a-b-corp/company/vpl/
"Vector Apparel Projects, INC",vector-apparel-projects-inc,Apparel,Manufacturing,Los Angeles,California,10-49,81.4,2026-06-14,https://www.bcorporation.net/en-us/find-a-b-corp/company/vector-apparel-projects-inc/
Vertical Activewear,vertical-activewear,Apparel,Manufacturing,Duluth,Georgia,0,94.8,2024-01-04,https://www.bcorporation.net/en-us/find-a-b-corp/company/vertical-activewear/
Wallaroo Hat Company,wallaroo-hat-company,Apparel,Wholesale/Retail,Boulder,Colorado,10-49,93.1,2014-11-12,https://www.bcorporation.net/en-us/find-a-b-corp/company/wallaroo-hat-company/
Waterlust LLC,waterlust,Apparel,Wholesale/Retail,Miami,Florida,1-9,120.7,2024-03-27,https://www.bcorporation.net/en-us/find-a-b-corp/company/waterlust/
"Wild Rye, PBC",wild-rye-inc,Apparel,Wholesale/Retail,Ketchum,Idaho,10-49,82.8,2022-06-13,https://www.bcorporation.net/en-us/find-a-b-corp/company/wild-rye-inc/
Zusa,zusa,Apparel,Wholesale/Retail,Plymouth,Minnesota,1-9,123.3,2024-01-15,https://www.bcorporation.net/en-us/find-a-b-corp/company/zusa/
better. by BlueStar (BlueStar Marketing),blue-star-marketing,Apparel,Wholesale/Retail,Elkins Park,Pennsylvania,1-9,83.6,2020-07-07,https://www.bcorporation.net/en-us/find-a-b-corp/company/blue-star-marketing/
friend + folk llc,friend-folk-llc,Apparel,Wholesale/Retail,,,0,114.8,2025-05-02,https://www.bcorporation.net/en-us/find-a-b-corp/company/friend-folk-llc/
lemlem,lemlem,Apparel,Wholesale/Retail,New York,New York,1-9,86.3,2026-01-28,https://www.bcorporation.net/en-us/find-a-b-corp/company/lemlem/
ocean+main los angeles,oceanmain-los-angeles,Apparel,Manufacturing,Santa Monica,California,1-9,112.5,2024-02-07,https://www.bcorporation.net/en-us/find-a-b-corp/company/oceanmain-los-angeles/
unspun,unspun,Apparel,Manufacturing,Emeryville,California,50-249,92.2,2022-03-24,https://www.bcorporation.net/en-us/find-a-b-corp/company/unspun/
818 Spirits Inc,818-spirits-inc,Beverages,Wholesale/Retail,Miami Beach,Florida,10-49,96.2,2023-03-05,https://www.bcorporation.net/en-us/find-a-b-corp/company/818-spirits-inc/
Aldea Coffee,aldea-coffee,Beverages,Manufacturing,Grand Haven,Michigan,10-49,113.1,2020-08-31,https://www.bcorporation.net/en-us/find-a-b-corp/company/aldea-coffee/
Allagash Brewing Company,allagash-brewing-company,Beverages,Manufacturing,Portland,Maine,50-249,104,2019-07-21,https://www.bcorporation.net/en-us/find-a-b-corp/company/allagash-brewing-company/
Altos Planos,altos-planos,Beverages,Wholesale/Retail,Dallas,Texas,50-249,85.4,2022-08-15,https://www.bcorporation.net/en-us/find-a-b-corp/company/altos-planos/
Aslan Brewing Company,aslan-brewing-company,Beverages,Manufacturing,Bellingham,Washington,50-249,88.8,2016-01-06,https://www.bcorporation.net/en-us/find-a-b-corp/company/aslan-brewing-company/
"Athletic Brewing Holding Company, LLC",athletic-brewing-company,Beverages,Manufacturing,Milford,Connecticut,250-999,87.6,2022-04-10,https://www.bcorporation.net/en-us/find-a-b-corp/company/athletic-brewing-company/
"BLK & Bold, LLC",blk-bold-specialty-beverages,Beverages,Manufacturing,Des Moines,Iowa,10-49,99.1,2020-07-22,https://www.bcorporation.net/en-us/find-a-b-corp/company/blk-bold-specialty-beverages/
Backyard Beans Coffee Company,backyard-beans-coffee-company,Beverages,Manufacturing,Lansdale,Pennsylvania,10-49,82.7,2024-06-23,https://www.bcorporation.net/en-us/find-a-b-corp/company/backyard-beans-coffee-company/
Bigelow Tea,bigelow-tea,Beverages,Manufacturing,Fairfield,Connecticut,250-999,103.1,2019-04-25,https://www.bcorporation.net/en-us/find-a-b-corp/company/bigelow-tea/
"Biotic Brands, SPC",biotic-brands-s-p-c,Beverages,Wholesale/Retail,Petaluma,California,0,95.4,2020-09-22,https://www.bcorporation.net/en-us/find-a-b-corp/company/biotic-brands-s-p-c/
Boochcraft,boochcraft,Beverages,Manufacturing,Chula Vista,California,50-249,94,2022-05-04,https://www.bcorporation.net/en-us/find-a-b-corp/company/boochcraft/
Boon Boona Coffee,boon-boona-coffee,Beverages,Manufacturing,Renton,Washington,10-49,81.6,2023-05-04,https://www.bcorporation.net/en-us/find-a-b-corp/company/boon-boona-coffee/
Brew Dr. Kombucha,brew-dr-kombucha,Beverages,Manufacturing,Tualatin,Oregon,50-249,110,2018-09-18,https://www.bcorporation.net/en-us/find-a-b-corp/company/brew-dr-kombucha/
Cafe Imports Fulfillment LLC,cafe-imports,Beverages,Wholesale/Retail,Minneapolis,Minnesota,50-249,84.6,2023-10-22,https://www.bcorporation.net/en-us/find-a-b-corp/company/cafe-imports/
Circle,circle,Beverages,Manufacturing,Indianapolis,Indiana,10-49,85.9,2022-10-03,https://www.bcorporation.net/en-us/find-a-b-corp/company/circle/
"Danone Waters of America, Inc.",danone-waters-of-america-inc,Beverages,Wholesale/Retail,White Plains,New York,10-49,85.2,2019-06-09,https://www.bcorporation.net/en-us/find-a-b-corp/company/danone-waters-of-america-inc/
"Devil's Foot Beverage, LLC",devils-foot-beverage-llc,Beverages,Manufacturing,Asheville,North Carolina,1-9,95.3,2026-05-27,https://www.bcorporation.net/en-us/find-a-b-corp/company/devils-foot-beverage-llc/
"Eldorado Artesian Springs, Inc.",eldorado-artesian-springs-inc,Beverages,Manufacturing,Louisville,Colorado,50-249,88.4,2023-03-13,https://www.bcorporation.net/en-us/find-a-b-corp/company/eldorado-artesian-springs-inc/
Enroot Organics PBC,enroot-organics-p-b-c,Beverages,Wholesale/Retail,Los Angeles,California,1-9,91.1,2021-10-13,https://www.bcorporation.net/en-us/find-a-b-corp/company/enroot-organics-p-b-c/
Ethanology LLC,ethanology-distillation,Beverages,Manufacturing,Elk Rapids,Michigan,1-9,95,2023-01-29,https://www.bcorporation.net/en-us/find-a-b-corp/company/ethanology-distillation/
Explorer Cold Brew,explorer-cold-brew,Beverages,Wholesale/Retail,Brooklyn,New York,0,136.7,2026-08-18,https://www.bcorporation.net/en-us/find-a-b-corp/company/explorer-cold-brew/
